1;1;Wasserstoff;;Li;;He
1;18;Helium;;Ne;H;Li
2;1;Lithium;H;Na;He;Be
2;16;Sauerstoff;;S;N;F
2;15;Stickstoff;;P;C;O
3;13;Aluminium;B;Ga;Mg;Si
2;14;Kohlenstoff;;Si;B;N
2;13;Bor;;Al;Be;C
3;1;Natrium;Li;K;Ne;Mg
3;2;Magnesium;Be;Ca;Na;Al
3;16;Schwefel;O;Se;P;Cl
4;11;Kupfer;;Ag;Ni;Zn
3;14;Silicium;C;Ge;Al;P
2;2;Beryllium;;Mg;Li;B
6;11;Gold;Ag;Rg;Pt;Hg
4;8;Eisen;;Ru;Mn;Co
3;15;Phosphor;N;As;Si;S
5;11;Silber;Cu;Au;Pd;Cd
2;17;Fluor;;Cl;O;Ne
3;17;Chlor;F;Br;S;Ar
4;10;Nickel;;Pd;Co;Cu
2;18;Neon;He;Ar;F;Na
4;1;Kalium;Na;Rb;Ar;Ca
4;9;Kobalt;;Rh;Fe;Ni
4;12;Zink;;Cd;Cu;Ga
3;18;Argon;Ne;Kr;Cl;K
4;7;Mangan;;Tc;Cr;Fe
4;2;Calcium;Mg;Sr;K;Sc
5;10;Palladium;Ni;Pt;Rh;Ag
4;4;Titan;;Zr;Sc;V
4;17;Brom;Cl;I;Se;Kr
4;13;Gallium;Al;In;Zn;Ge
4;16;Selen;S;Te;As;Br
6;10;Platin;Pd;Ds;Ir;Au
4;6;Chrom;;Mo;V;Mn
4;15;Arsen;P;Sb;Ge;Se
5;14;Zinn;Ge;Pb;In;Sb
6;14;Blei;Sn;Fl;Tl;Bi
4;5;Vanadium;;Nb;Ti;Cr
4;14;Germanium;Si;Sn;Ga;As
5;15;Antimon;As;Bi;Sn;Te
5;17;Iod;Br;At;Te;Xe
6;6;Wolfram;Mo;Sg;Ta;Re
6;15;Bismut;Sb;Mc;Pb;Po
5;6;Molybdän;Cr;W;Nb;Tc
4;3;Scandium;;Y;Ca;Ti
5;9;Rhodium;Co;Ir;Ru;Pd
Ac;3;Uran;Nd;;Pa;Np
4;18;Krypton;Ar;Xe;Br;Rb
5;12;Cadmium;Zn;Hg;Ag;In
5;18;Xenon;Kr;Rn;I;Cs
5;8;Ruthenium;Fe;Os;Tc;Rh
5;16;Tellur;Se;Po;Sb;I
6;9;Iridium;Rh;Mt;Os;Pt
5;1;Rubidium;K;Cs;Kr;Sr
6;12;Quecksilber;Cd;Cn;Au;Tl
5;4;Zirkonium;Ti;Hf;Y;Nb
6;18;Radon;Xe;Og;At;Fr
5;13;Indium;Ga;Tl;Cd;Sn
7;18;Oganesson;Rn;;Ts;
Ac;5;Plutonium;Sm;;Np;Am
7;11;Roentgenium;Au;;Ds;Cn
6;1;Caesium;Rb;Fr;Xe;Ba
5;5;Niob;V;Ta;Zr;Mo
5;2;Strontium;Ca;Ba;Rb;Y
6;16;Polonium;Te;Lv;Bi;At
6;17;Astat;I;Ts;Po;Rn
5;7;Technetium;Mn;Re;Mo;Ru
7;1;Francium;Cs;;Rn;Ra
7;2;Radium;Ba;;Fr;Ac
6;5;Tantal;Nb;Db;Hf;W
7;15;Moscovium;Bi;;Fl;Lv
6;2;Barium;Sr;Ra;Cs;La
6;8;Osmium;Ru;Hs;Re;Ir
Ac;4;Neptunium;Pm;;U;Pu
Ac;3;Neodym;;U;Pr;Pm
6;13;Thallium;In;Nh;Hg;Pb
7;14;Flerovium;Pb;;Nh;Mc
6;7;Rhenium;Tc;Bh;W;Os
5;3;Yttrium;Sc;La;Sr;Zr
Ac;2;Protactinium;Pr;;Th;U
7;17;Tenness;At;;Lv;Og
La;1;Thorium;Ce;;Ac;Pa
Ac;5;Samarium;;Pu;Pm;Eu
Ac;6;Americium;Eu;;Pu;Cm
7;16;Livermorium;Po;;Mc;Ts
7;3;Actinium;La;;Ra;Th
7;6;Seaborgium;W;;Db;Bh
La;1;Cer;;Th;La;Pr
6;3;Lanthan;Y;Ac;Ba;Ce
6;4;Hafnium;Zr;Rf;Lu;Ta
7;10;Darmstadtium;Pt;;Mt;Rg
Ac;4;Promethium;;Np;Nd;Sm
Ac;6;Europium;;Am;Sm;Gd
Ac;9;Californium;Dy;;Bk;Es
Ac;7;Gadolinium;;Cm;Eu;Tb
7;13;Nihonium;Tl;;Cn;Fl
Ac;2;Praseodym;;Pa;Ce;Nd
7;9;Meitnerium;Ir;;Hs;Ds
Ac;10;Einsteinium;Ho;;Cf;Fm
7;8;Hassium;Os;;Bh;Mt
Ac;7;Curium;Gd;;Am;Bk
7;5;Dubnium;Ta;;Rf;Sg
Ac;14;Lutetium;;Lr;Yb;Hf
Ac;9;Dysprosium;;Cf;Tb;Ho
7;12;Copernicium;Hg;;Rg;Nh
Ac;13;Ytterbium;;No;Tm;Lu
Ac;10;Holmium;;Es;Dy;Er
Ac;8;Terbium;;Bk;Gd;Dy
Ac;8;Berkelium;Tb;;Cm;Cf
Ac;14;Lawrencium;Lu;;No;Rf
7;4;Rutherfordium;Hf;;Lr;Db
Ac;12;Thulium;;Md;Er;Yb
7;7;Bohrium;Re;;Sg;Hs
Ac;11;Erbium;;Fm;Ho;Tm
Ac;13;Nobelium;Yb;;Md;Lr
Ac;11;Fermium;Er;;Es;Md
Ac;12;Mendelevium;Tm;;Fm;No
