1;1;hydrogen;;Li;;He
1;18;helium;;Ne;H;Li
2;1;lithium;H;Na;He;Be
2;16;oxygen;;S;N;F
2;15;nitrogen;;P;C;O
3;13;aluminium;B;Ga;Mg;Si
2;14;carbon;;Si;B;N
2;13;boron;;Al;Be;C
3;1;sodium;Li;K;Ne;Mg
3;2;magnesium;Be;Ca;Na;Al
3;16;sulfur;O;Se;P;Cl
4;11;copper;;Ag;Ni;Zn
3;14;silicon;C;Ge;Al;P
2;2;beryllium;;Mg;Li;B
6;11;gold;Ag;Rg;Pt;Hg
4;8;iron;;Ru;Mn;Co
3;15;phosphorus;N;As;Si;S
5;11;silver;Cu;Au;Pd;Cd
2;17;fluorine;;Cl;O;Ne
3;17;chlorine;F;Br;S;Ar
4;10;nickel;;Pd;Co;Cu
2;18;neon;He;Ar;F;Na
4;1;potassium;Na;Rb;Ar;Ca
4;9;cobalt;;Rh;Fe;Ni
4;12;zinc;;Cd;Cu;Ga
3;18;argon;Ne;Kr;Cl;K
4;7;manganese;;Tc;Cr;Fe
4;2;calcium;Mg;Sr;K;Sc
5;10;palladium;Ni;Pt;Rh;Ag
4;4;titanium;;Zr;Sc;V
4;17;bromine;Cl;I;Se;Kr
4;13;gallium;Al;In;Zn;Ge
4;16;selenium;S;Te;As;Br
6;10;platinum;Pd;Ds;Ir;Au
4;6;chromium;;Mo;V;Mn
4;15;arsenic;P;Sb;Ge;Se
5;14;tin;Ge;Pb;In;Sb
6;14;lead;Sn;Fl;Tl;Bi
4;5;vanadium;;Nb;Ti;Cr
4;14;germanium;Si;Sn;Ga;As
5;15;antimony;As;Bi;Sn;Te
5;17;iodine;Br;At;Te;Xe
6;6;tungsten;Mo;Sg;Ta;Re
6;15;bismuth;Sb;Mc;Pb;Po
5;6;molybdenum;Cr;W;Nb;Tc
4;3;scandium;;Y;Ca;Ti
5;9;rhodium;Co;Ir;Ru;Pd
Ac;3;uranium;Nd;;Pa;Np
4;18;krypton;Ar;Xe;Br;Rb
5;12;cadmium;Zn;Hg;Ag;In
5;18;xenon;Kr;Rn;I;Cs
5;8;ruthenium;Fe;Os;Tc;Rh
5;16;tellurium;Se;Po;Sb;I
6;9;iridium;Rh;Mt;Os;Pt
5;1;rubidium;K;Cs;Kr;Sr
6;12;mercury;Cd;Cn;Au;Tl
5;4;zirconium;Ti;Hf;Y;Nb
6;18;radon;Xe;Og;At;Fr
5;13;indium;Ga;Tl;Cd;Sn
7;18;oganesson;Rn;;Ts;
Ac;5;plutonium;Sm;;Np;Am
7;11;roentgenium;Au;;Ds;Cn
6;1;caesium;Rb;Fr;Xe;Ba
5;5;niobium;V;Ta;Zr;Mo
5;2;strontium;Ca;Ba;Rb;Y
6;16;polonium;Te;Lv;Bi;At
6;17;astatine;I;Ts;Po;Rn
5;7;technetium;Mn;Re;Mo;Ru
7;1;francium;Cs;;Rn;Ra
7;2;radium;Ba;;Fr;Ac
6;5;tantalum;Nb;Db;Hf;W
7;15;moscovium;Bi;;Fl;Lv
6;2;barium;Sr;Ra;Cs;La
6;8;osmium;Ru;Hs;Re;Ir
Ac;4;neptunium;Pm;;U;Pu
Ac;3;neodymium;;U;Pr;Pm
6;13;thallium;In;Nh;Hg;Pb
7;14;flerovium;Pb;;Nh;Mc
6;7;rhenium;Tc;Bh;W;Os
5;3;yttrium;Sc;La;Sr;Zr
Ac;2;protactinium;Pr;;Th;U
7;17;tennessine;At;;Lv;Og
La;1;thorium;Ce;;Ac;Pa
Ac;5;samarium;;Pu;Pm;Eu
Ac;6;americium;Eu;;Pu;Cm
7;16;livermorium;Po;;Mc;Ts
7;3;actinium;La;;Ra;Th
7;6;seaborgium;W;;Db;Bh
La;1;cerium;;Th;La;Pr
6;3;lanthanum;Y;Ac;Ba;Ce
6;4;hafnium;Zr;Rf;Lu;Ta
7;10;darmstadtium;Pt;;Mt;Rg
Ac;4;promethium;;Np;Nd;Sm
Ac;6;europium;;Am;Sm;Gd
Ac;9;californium;Dy;;Bk;Es
Ac;7;gadolinium;;Cm;Eu;Tb
7;13;nihonium;Tl;;Cn;Fl
Ac;2;praseodymium;;Pa;Ce;Nd
7;9;meitnerium;Ir;;Hs;Ds
Ac;10;einsteinium;Ho;;Cf;Fm
7;8;hassium;Os;;Bh;Mt
Ac;7;curium;Gd;;Am;Bk
7;5;dubnium;Ta;;Rf;Sg
Ac;14;lutetium;;Lr;Yb;Hf
Ac;9;dysprosium;;Cf;Tb;Ho
7;12;copernicium;Hg;;Rg;Nh
Ac;13;ytterbium;;No;Tm;Lu
Ac;10;holmium;;Es;Dy;Er
Ac;8;terbium;;Bk;Gd;Dy
Ac;8;berkelium;Tb;;Cm;Cf
Ac;14;lawrencium;Lu;;No;Rf
7;4;rutherfordium;Hf;;Lr;Db
Ac;12;thulium;;Md;Er;Yb
7;7;bohrium;Re;;Sg;Hs
Ac;11;erbium;;Fm;Ho;Tm
Ac;13;nobelium;Yb;;Md;Lr
Ac;11;fermium;Er;;Es;Md
Ac;12;mendelevium;Tm;;Fm;No
