1;1;idrogeno;;Li;;He
1;18;elio;;Ne;H;Li
2;1;litio;H;Na;He;Be
2;16;ossigeno;;S;N;F
2;15;azoto;;P;C;O
3;13;alluminio;B;Ga;Mg;Si
2;14;carbonio;;Si;B;N
2;13;boro;;Al;Be;C
3;1;sodio;Li;K;Ne;Mg
3;2;magnesio;Be;Ca;Na;Al
3;16;solfo;O;Se;P;Cl
4;11;rame;;Ag;Ni;Zn
3;14;silicio;C;Ge;Al;P
2;2;berillio;;Mg;Li;B
6;11;oro;Ag;Rg;Pt;Hg
4;8;ferro;;Ru;Mn;Co
3;15;fosforo;N;As;Si;S
5;11;argento;Cu;Au;Pd;Cd
2;17;fluoro;;Cl;O;Ne
3;17;cloro;F;Br;S;Ar
4;10;nichel;;Pd;Co;Cu
2;18;neo;He;Ar;F;Na
4;1;potassio;Na;Rb;Ar;Ca
4;9;cobalto;;Rh;Fe;Ni
4;12;zinco;;Cd;Cu;Ga
3;18;argo;Ne;Kr;Cl;K
4;7;manganese;;Tc;Cr;Fe
4;2;calcio;Mg;Sr;K;Sc
5;10;palladio;Ni;Pt;Rh;Ag
4;4;titanio;;Zr;Sc;V
4;17;bromo;Cl;I;Se;Kr
4;13;gallio;Al;In;Zn;Ge
4;16;selenio;S;Te;As;Br
6;10;platino;Pd;Ds;Ir;Au
4;6;cromo;;Mo;V;Mn
4;15;arsenico;P;Sb;Ge;Se
5;14;stagno;Ge;Pb;In;Sb
6;14;piombo;Sn;Fl;Tl;Bi
4;5;vanadio;;Nb;Ti;Cr
4;14;germanio;Si;Sn;Ga;As
5;15;antimonio;As;Bi;Sn;Te
5;17;iodio;Br;At;Te;Xe
6;6;wolframio;Mo;Sg;Ta;Re
6;15;bismuto;Sb;Mc;Pb;Po
5;6;molibdeno;Cr;W;Nb;Tc
4;3;scandio;;Y;Ca;Ti
5;9;rodio;Co;Ir;Ru;Pd
Ac;3;uranio;Nd;;Pa;Np
4;18;cripto;Ar;Xe;Br;Rb
5;12;cadmio;Zn;Hg;Ag;In
5;18;xeno;Kr;Rn;I;Cs
5;8;rutenio;Fe;Os;Tc;Rh
5;16;tellurio;Se;Po;Sb;I
6;9;iridio;Rh;Mt;Os;Pt
5;1;rubidio;K;Cs;Kr;Sr
6;12;mercurio;Cd;Cn;Au;Tl
5;4;zirconio;Ti;Hf;Y;Nb
6;18;radon (emanio);Xe;Og;At;Fr
5;13;indio;Ga;Tl;Cd;Sn
7;18;oganesson;Rn;;Ts;
Ac;5;plutonio;Sm;;Np;Am
7;11;roentgenio;Au;;Ds;Cn
6;1;cesio;Rb;Fr;Xe;Ba
5;5;niobio;V;Ta;Zr;Mo
5;2;stronzio;Ca;Ba;Rb;Y
6;16;polonio;Te;Lv;Bi;At
6;17;astato;I;Ts;Po;Rn
5;7;tecneto;Mn;Re;Mo;Ru
7;1;francio;Cs;;Rn;Ra
7;2;radio;Ba;;Fr;Ac
6;5;tantalio;Nb;Db;Hf;W
7;15;moscovio;Bi;;Fl;Lv
6;2;bario;Sr;Ra;Cs;La
6;8;osmio;Ru;Hs;Re;Ir
Ac;4;nettunio;Pm;;U;Pu
Ac;3;neodimio;;U;Pr;Pm
6;13;tallio;In;Nh;Hg;Pb
7;14;flerovio;Pb;;Nh;Mc
6;7;renio;Tc;Bh;W;Os
5;3;ittrio;Sc;La;Sr;Zr
Ac;2;protoattinio;Pr;;Th;U
7;17;tennesso;At;;Lv;Og
La;1;torio;Ce;;Ac;Pa
Ac;5;samario;;Pu;Pm;Eu
Ac;6;americio;Eu;;Pu;Cm
7;16;livermorio;Po;;Mc;Ts
7;3;attinio;La;;Ra;Th
7;6;seaborgio;W;;Db;Bh
La;1;cerio;;Th;La;Pr
6;3;lantanio;Y;Ac;Ba;Ce
6;4;afnio;Zr;Rf;Lu;Ta
7;10;darmstadtio;Pt;;Mt;Rg
Ac;4;prometo;;Np;Nd;Sm
Ac;6;europio;;Am;Sm;Gd
Ac;9;californio;Dy;;Bk;Es
Ac;7;gadolinio;;Cm;Eu;Tb
7;13;nihonio;Tl;;Cn;Fl
Ac;2;praseodimio;;Pa;Ce;Nd
7;9;meitnerio;Ir;;Hs;Ds
Ac;10;einsteinio;Ho;;Cf;Fm
7;8;hassio;Os;;Bh;Mt
Ac;7;curio;Gd;;Am;Bk
7;5;dubnio;Ta;;Rf;Sg
Ac;14;lutezio;;Lr;Yb;Hf
Ac;9;disprosio;;Cf;Tb;Ho
7;12;copernicio;Hg;;Rg;Nh
Ac;13;itterbio;;No;Tm;Lu
Ac;10;olmio;;Es;Dy;Er
Ac;8;terbio;;Bk;Gd;Dy
Ac;8;berkelio;Tb;;Cm;Cf
Ac;14;lawrentio;Lu;;No;Rf
7;4;rutherfordio;Hf;;Lr;Db
Ac;12;tulio;;Md;Er;Yb
7;7;bohrio;Re;;Sg;Hs
Ac;11;erbio;;Fm;Ho;Tm
Ac;13;nobelio;Yb;;Md;Lr
Ac;11;fermio;Er;;Es;Md
Ac;12;mendelevio;Tm;;Fm;No
