H;Wasserstoff;1;1;1;;Li;;He
He;Helium;1;18;2;;Ne;H;Li
Li;Lithium;2;1;3;H;Na;He;Be
O;Sauerstoff;2;16;8;;S;N;F
N;Stickstoff;2;15;7;;P;C;O
Al;Aluminium;3;13;13;B;Ga;Mg;Si
C;Kohlenstoff;2;14;6;;Si;B;N
B;Bor;2;13;5;;Al;Be;C
Na;Natrium;3;1;11;Li;K;Ne;Mg
Mg;Magnesium;3;2;12;Be;Ca;Na;Al
S;Schwefel;3;16;16;O;Se;P;Cl
Cu;Kupfer;4;11;29;;Ag;Ni;Zn
Si;Silicium;3;14;14;C;Ge;Al;P
Be;Beryllium;2;2;4;;Mg;Li;B
Au;Gold;6;11;79;Ag;Rg;Pt;Hg
Fe;Eisen;4;8;26;;Ru;Mn;Co
P;Phosphor;3;15;15;N;As;Si;S
Ag;Silber;5;11;47;Cu;Au;Pd;Cd
F;Fluor;2;17;9;;Cl;O;Ne
Cl;Chlor;3;17;17;F;Br;S;Ar
Ni;Nickel;4;10;28;;Pd;Co;Cu
Ne;Neon;2;18;10;He;Ar;F;Na
K;Kalium;4;1;19;Na;Rb;Ar;Ca
Co;Kobalt;4;9;27;;Rh;Fe;Ni
Zn;Zink;4;12;30;;Cd;Cu;Ga
Ar;Argon;3;18;18;Ne;Kr;Cl;K
Mn;Mangan;4;7;25;;Tc;Cr;Fe
Ca;Calcium;4;2;20;Mg;Sr;K;Sc
Pd;Palladium;5;10;46;Ni;Pt;Rh;Ag
Ti;Titan;4;4;22;;Zr;Sc;V
Br;Brom;4;17;35;Cl;I;Se;Kr
Ga;Gallium;4;13;31;Al;In;Zn;Ge
Se;Selen;4;16;34;S;Te;As;Br
Pt;Platin;6;10;78;Pd;Ds;Ir;Au
Cr;Chrom;4;6;24;;Mo;V;Mn
As;Arsen;4;15;33;P;Sb;Ge;Se
Sn;Zinn;5;14;50;Ge;Pb;In;Sb
Pb;Blei;6;14;82;Sn;Fl;Tl;Bi
V;Vanadium;4;5;23;;Nb;Ti;Cr
Ge;Germanium;4;14;32;Si;Sn;Ga;As
Sb;Antimon;5;15;51;As;Bi;Sn;Te
I;Iod;5;17;53;Br;At;Te;Xe
W;Wolfram;6;6;74;Mo;Sg;Ta;Re
