H;idrogeno;1;1;1;;Li;;He
He;elio;1;18;2;;Ne;H;Li
Li;litio;2;1;3;H;Na;He;Be
O;ossigeno;2;16;8;;S;N;F
N;azoto;2;15;7;;P;C;O
Al;alluminio;3;13;13;B;Ga;Mg;Si
C;carbonio;2;14;6;;Si;B;N
B;boro;2;13;5;;Al;Be;C
Na;sodio;3;1;11;Li;K;Ne;Mg
Mg;magnesio;3;2;12;Be;Ca;Na;Al
S;solfo;3;16;16;O;Se;P;Cl
Cu;rame;4;11;29;;Ag;Ni;Zn
Si;silicio;3;14;14;C;Ge;Al;P
Be;berillio;2;2;4;;Mg;Li;B
Au;oro;6;11;79;Ag;Rg;Pt;Hg
Fe;ferro;4;8;26;;Ru;Mn;Co
P;fosforo;3;15;15;N;As;Si;S
Ag;argento;5;11;47;Cu;Au;Pd;Cd
F;fluoro;2;17;9;;Cl;O;Ne
Cl;cloro;3;17;17;F;Br;S;Ar
Ni;nichel;4;10;28;;Pd;Co;Cu
Ne;neo;2;18;10;He;Ar;F;Na
K;potassio;4;1;19;Na;Rb;Ar;Ca
Co;cobalto;4;9;27;;Rh;Fe;Ni
Zn;zinco;4;12;30;;Cd;Cu;Ga
Ar;argo;3;18;18;Ne;Kr;Cl;K
Mn;manganese;4;7;25;;Tc;Cr;Fe
Ca;calcio;4;2;20;Mg;Sr;K;Sc
Pd;palladio;5;10;46;Ni;Pt;Rh;Ag
Ti;titanio;4;4;22;;Zr;Sc;V
Br;bromo;4;17;35;Cl;I;Se;Kr
Ga;gallio;4;13;31;Al;In;Zn;Ge
Se;selenio;4;16;34;S;Te;As;Br
Pt;platino;6;10;78;Pd;Ds;Ir;Au
Cr;cromo;4;6;24;;Mo;V;Mn
As;arsenico;4;15;33;P;Sb;Ge;Se
Sn;stagno;5;14;50;Ge;Pb;In;Sb
Pb;piombo;6;14;82;Sn;Fl;Tl;Bi
V;vanadio;4;5;23;;Nb;Ti;Cr
Ge;germanio;4;14;32;Si;Sn;Ga;As
Sb;antimonio;5;15;51;As;Bi;Sn;Te
I;iodio;5;17;53;Br;At;Te;Xe
W;wolframio;6;6;74;Mo;Sg;Ta;Re
Bi;bismuto;6;15;83;Sb;Mc;Pb;Po
Mo;molibdeno;5;6;42;Cr;W;Nb;Tc
Sc;scandio;4;3;21;;Y;Ca;Ti
Rh;rodio;5;9;45;Co;Ir;Ru;Pd
U;uranio;Ac;3;92;Nd;;Pa;Np
Kr;cripto;4;18;36;Ar;Xe;Br;Rb
Cd;cadmio;5;12;48;Zn;Hg;Ag;In
Xe;xeno;5;18;54;Kr;Rn;I;Cs
Ru;rutenio;5;8;44;Fe;Os;Tc;Rh
Te;tellurio;5;16;52;Se;Po;Sb;I
Ir;iridio;6;9;77;Rh;Mt;Os;Pt
Rb;rubidio;5;1;37;K;Cs;Kr;Sr
Hg;mercurio;6;12;80;Cd;Cn;Au;Tl
Zr;zirconio;5;4;40;Ti;Hf;Y;Nb
Rn;radon (emanio);6;18;86;Xe;Og;At;Fr
In;indio;5;13;49;Ga;Tl;Cd;Sn
Og;oganesson;7;18;118;Rn;;Ts;
Pu;plutonio;Ac;5;94;Sm;;Np;Am
Rg;roentgenio;7;11;111;Au;;Ds;Cn
Cs;cesio;6;1;55;Rb;Fr;Xe;Ba
Nb;niobio;5;5;41;V;Ta;Zr;Mo
Sr;stronzio;5;2;38;Ca;Ba;Rb;Y
Po;polonio;6;16;84;Te;Lv;Bi;At
At;astato;6;17;85;I;Ts;Po;Rn
Tc;tecneto;5;7;43;Mn;Re;Mo;Ru
Fr;francio;7;1;87;Cs;;Rn;Ra
Ra;radio;7;2;88;Ba;;Fr;Ac
Ta;tantalio;6;5;73;Nb;Db;Hf;W
Mc;moscovio;7;15;115;Bi;;Fl;Lv
Ba;bario;6;2;56;Sr;Ra;Cs;La
Os;osmio;6;8;76;Ru;Hs;Re;Ir
Np;nettunio;Ac;4;93;Pm;;U;Pu
Nd;neodimio;Ac;3;60;;U;Pr;Pm
Tl;tallio;6;13;81;In;Nh;Hg;Pb
Fl;flerovio;7;14;114;Pb;;Nh;Mc
Re;renio;6;7;75;Tc;Bh;W;Os
Y;ittrio;5;3;39;Sc;La;Sr;Zr
Pa;protoattinio;Ac;2;91;Pr;;Th;U
Ts;tennesso;7;17;117;At;;Lv;Og
Th;torio;La;1;90;Ce;;Ac;Pa
Sm;samario;Ac;5;62;;Pu;Pm;Eu
Am;americio;Ac;6;95;Eu;;Pu;Cm
Lv;livermorio;7;16;116;Po;;Mc;Ts
Ac;attinio;7;3;89;La;;Ra;Th
Sg;seaborgio;7;6;106;W;;Db;Bh
Ce;cerio;La;1;58;;Th;La;Pr
La;lantanio;6;3;57;Y;Ac;Ba;Ce
Hf;afnio;6;4;72;Zr;Rf;Lu;Ta
Ds;darmstadtio;7;10;110;Pt;;Mt;Rg
Pm;prometo;Ac;4;61;;Np;Nd;Sm
Eu;europio;Ac;6;63;;Am;Sm;Gd
Cf;californio;Ac;9;98;Dy;;Bk;Es
Gd;gadolinio;Ac;7;64;;Cm;Eu;Tb
Nh;nihonio;7;13;113;Tl;;Cn;Fl
Pr;praseodimio;Ac;2;59;;Pa;Ce;Nd
Mt;meitnerio;7;9;109;Ir;;Hs;Ds
Es;einsteinio;Ac;10;99;Ho;;Cf;Fm
Hs;hassio;7;8;108;Os;;Bh;Mt
Cm;curio;Ac;7;96;Gd;;Am;Bk
Db;dubnio;7;5;105;Ta;;Rf;Sg
Lu;lutezio;Ac;14;71;;Lr;Yb;Hf
Dy;disprosio;Ac;9;66;;Cf;Tb;Ho
Cn;copernicio;7;12;112;Hg;;Rg;Nh
Yb;itterbio;Ac;13;70;;No;Tm;Lu
Ho;olmio;Ac;10;67;;Es;Dy;Er
Tb;terbio;Ac;8;65;;Bk;Gd;Dy
Bk;berkelio;Ac;8;97;Tb;;Cm;Cf
Lr;lawrentio;Ac;14;103;Lu;;No;Rf
Rf;rutherfordio;7;4;104;Hf;;Lr;Db
Tm;tulio;Ac;12;69;;Md;Er;Yb
Bh;bohrio;7;7;107;Re;;Sg;Hs
Er;erbio;Ac;11;68;;Fm;Ho;Tm
No;nobelio;Ac;13;102;Yb;;Md;Lr
Fm;fermio;Ac;11;100;Er;;Es;Md
Md;mendelevio;Ac;12;101;Tm;;Fm;No
